1,*,*,3,0~7,2
2,*,*,3,8~16,3
3,*,*,3,0~7,3
4,*,*,2,8~16,3
5,*,*,3,8~16,3
6,*,*,4,0~7,3
7,*,*,3,0~7,3
8,*,*,3,0~7,3
9,*,*,3,0~7,3
11,*,*,3,0~7,3
12,*,*,4,0~7,1
13,*,*,4,0~7,1
14,*,*,4,0~7,3
15,*,*,4,0~7,2
16,*,*,4,0~7,4
17,*,*,1,0~7,2
18,*,*,2,0~7,2
19,*,*,2,8~16,2
20,*,*,1,0~7,2
21,*,*,4,0~7,4
22,*,*,4,0~7,3
23,*,*,4,0~7,1
24,*,*,4,0~7,1
25,*,*,4,0~7,1
26,*,*,4,8~16,3
27,*,*,4,0~7,1
28,*,*,4,0~7,1
29,*,*,4,0~7,2
30,*,*,2,8~16,2
31,*,*,4,0~7,1
32,*,*,4,0~7,3
33,*,*,4,0~7,1
34,*,*,2,0~7,3
35,*,*,3,0~7,3
36,*,*,3,8~16,3
37,*,*,2,8~16,3
38,*,*,3,0~7,3
39,*,*,2,0~7,3
40,*,*,2,0~7,2
41,*,*,1,0~7,3
42,*,*,3,0~7,1
43,*,*,4,0~7,1
44,*,*,4,0~7,1
45,*,*,2,0~7,3
46,*,*,4,0~7,2
47,*,*,4,0~7,2
48,*,*,4,0~7,2
49,*,*,4,0~7,1
50,*,*,4,0~7,1
51,*,*,4,0~7,1
52,*,*,4,0~7,2
53,*,*,4,8~16,3
54,*,*,4,0~7,2
55,*,*,4,0~7,2
56,*,*,2,0~7,2
57,*,*,4,0~7,1
58,*,*,4,0~7,2
59,*,*,3,0~7,3
60,*,*,4,0~7,1
61,*,*,3,8~16,3
62,*,*,3,0~7,2
63,*,*,2,0~7,1
64,*,*,3,0~7,2
65,*,*,4,0~7,1
66,*,*,4,0~7,3
67,*,*,2,8~16,3
68,*,*,3,0~7,3
69,*,*,4,0~7,3
70,*,*,4,0~7,3
71,*,*,3,0~7,2
72,*,*,3,8~16,1
73,*,*,3,0~7,1
74,*,*,3,0~7,1
75,*,*,4,0~7,2
76,*,*,4,0~7,2
77,*,*,4,0~7,2
78,*,*,4,0~7,1
79,*,*,3,0~7,3
80,*,*,4,0~7,1
81,*,*,4,0~7,1
82,*,*,4,0~7,1
83,*,*,4,0~7,4
84,*,*,4,0~7,1
85,*,*,4,0~7,1
86,*,*,4,0~7,1
87,*,*,4,0~7,1
88,*,*,4,0~7,1
89,*,*,4,0~7,1
90,*,*,2,0~7,2
91,*,*,3,0~7,2
92,*,*,4,0~7,1
93,*,*,2,0~7,2
94,*,*,2,0~7,3
95,*,*,2,0~7,1
96,*,*,3,8~16,2
97,*,*,3,0~7,2
98,*,*,4,0~7,2
99,*,*,2,0~7,3
